province,harvest_year,tmean_season,tmax_season,tmin_season,rain_season_sum,rad_season_mean,tmean_mam,tmax_mam,tmin_mam,rain_mam_sum,rad_mam_mean
Karaman,2017,8.827631578947368,15.313756578947368,3.237953947368421,398.14,17.569440789473685,9.325717391304348,15.745478260869566,3.528978260869565,173.42,20.530108695652174
Karaman,2018,11.093809210526317,17.65368421052632,5.601875,405.846,17.299342105263158,12.603326086956523,19.160108695652173,6.605217391304348,90.806,21.061847826086957
Karaman,2019,9.55083552631579,15.589342105263157,4.447315789473684,541.292,16.76641447368421,9.462456521739131,15.527608695652173,4.025065217391304,97.12400000000001,20.43
Karaman,2020,10.180334426229509,16.558826229508195,4.775704918032787,428.618,17.021573770491802,9.917369565217392,16.17478260869565,4.188195652173913,102.724,20.40554347826087
Karaman,2021,10.561644736842107,17.51207236842105,4.850421052631579,281.366,17.538519736842105,10.419391304347826,17.495434782608694,4.167478260869565,79.986,20.688478260869566
Karaman,2022,8.932664473684211,15.41571052631579,3.448526315789474,415.44,17.109506578947368,8.363913043478261,14.575695652173913,2.656391304347826,92.692,20.156304347826087
Karaman,2023,10.063940789473685,16.817565789473683,4.546440789473684,318.332,16.72401315789474,10.360282608695652,16.955,4.4505869565217395,147.152,19.406739130434783
Karaman,2024,12.180177049180328,18.789547540983605,6.624583606557377,348.844,17.357311475409837,11.712326086956521,18.341413043478262,5.757369565217391,88.288,20.47336956521739
Kars,2005,1.806184210526316,8.138388157894738,-3.7353157894736846,643.048,15.79370394736842,3.2743913043478265,8.961804347826087,-2.243021739130435,242.72,17.818934782608697
Kars,2006,3.1994934210526313,9.510427631578947,-2.2389144736842104,546.758,15.916690789473684,4.752782608695652,10.70613043478261,-0.8528695652173913,195.946,19.040434782608695
Kars,2007,2.50403947368421,8.582677631578948,-2.8495460526315792,536.384,15.65496052631579,3.3601521739130438,9.089130434782609,-2.0459565217391305,169.962,18.72904347826087
Kars,2008,2.116255737704918,8.624340983606558,-3.5390360655737703,561.848,15.890806557377049,5.200804347826087,11.522347826086957,-0.6142391304347826,133.314,19.010847826086955
Kars,2009,2.678467105263158,8.770881578947368,-2.515519736842105,492.622,15.235388157894738,2.537630434782609,8.688,-3.1548260869565214,162.234,18.84467391304348
Kars,2010,4.378572368421053,10.222052631578947,-0.8137434210526316,583.218,14.466592105263159,4.248239130434783,10.078695652173913,-1.1878260869565218,222.31199999999998,16.38995652173913
Kars,2011,3.6691644736842104,9.782203947368421,-1.4658157894736843,532.364,15.254052631578947,2.8985217391304348,8.506,-2.261695652173913,205.39,17.509434782608697
Kars,2012,1.1569180327868853,7.4987213114754105,-4.537390163934426,477.682,16.038190163934427,2.578826086956522,8.602739130434783,-3.4795,164.196,19.729195652173914
Kars,2013,3.433888157894737,9.604789473684212,-1.9417894736842105,492.894,15.753032894736844,4.5808478260869565,10.466782608695652,-0.9316739130434784,163.042,19.05630434782609
Kars,2014,3.914703947368421,10.65271052631579,-1.6631776315789473,327.526,15.848796052631577,6.037782608695652,12.388717391304347,0.3062826086956521,133.796,18.111065217391307
Kars,2015,3.840072368421053,10.231973684210526,-1.5716447368421054,424.798,15.455690789473683,4.067565217391304,10.21395652173913,-1.5313478260869566,185.892,18.282108695652173
Kars,2016,3.2033704918032786,9.351868852459017,-2.0615278688524588,538.726,15.210832786885247,4.798065217391304,11.173543478260868,-0.982304347826087,162.39600000000002,18.49815217391304
Kars,2017,2.0389013157894738,8.887394736842106,-3.7984999999999998,358.954,16.608769736842106,4.380630434782609,10.775521739130435,-1.4011304347826086,132.306,19.711239130434784
Kars,2018,4.848875,11.181125,-0.4819078947368421,475.026,15.394131578947368,6.160434782608696,12.34654347826087,0.5743478260869564,170.488,17.906369565217393
Kars,2019,3.8751052631578946,10.251532894736842,-1.5969736842105264,377.754,15.989809210526316,4.113847826086956,10.226282608695652,-1.402717391304348,124.644,19.675782608695652
Kars,2020,3.8350163934426234,10.409390163934427,-1.8157573770491804,458.182,15.729901639344263,4.615152173913043,11.002369565217391,-1.2778478260869566,224.344,17.998782608695652
Kars,2021,4.6971184210526316,11.491973684210526,-1.003717105263158,366.7,16.13445394736842,5.335999999999999,11.94508695652174,-0.9255434782608696,137.766,19.913065217391303
Kars,2022,2.9992894736842106,9.746677631578947,-2.7188092105263157,424.28,16.164526315789473,2.569,9.003934782608695,-3.6079782608695656,166.756,19.497869565217393
Kars,2023,3.9857763157894737,10.344348684210525,-1.3743947368421054,529.422,14.701309210526317,5.280152173913043,11.303260869565218,-0.25139130434782603,234.65,15.878869565217391
Kars,2024,4.631062295081967,10.740518032786886,-0.5484196721311475,599.74,15.299927868852459,5.401478260869565,11.490043478260871,-0.15741304347826082,232.936,18.151652173913043
Kastamonu,2005,10.364605263157895,14.22182894736842,7.163105263157894,618.456,13.589013157894739,9.253282608695653,13.249173913043478,5.737434782608696,203.862,16.085782608695652
Kastamonu,2006,9.54253947368421,13.340335526315789,6.298342105263157,550.508,13.659276315789475,9.69441304347826,13.924195652173914,5.984521739130435,85.8,17.11173913043478
Kastamonu,2007,10.840967105263157,15.089907894736843,7.352322368421054,395.782,14.706940789473684,9.995826086956521,14.529304347826086,6.075086956521739,108.824,17.941326086956522
Kastamonu,2008,10.2428,14.248885245901638,6.890426229508196,562.408,14.352065573770492,11.22658695652174,15.613173913043479,7.493695652173913,140.284,17.01478260869565
Kastamonu,2009,10.393184210526314,14.164782894736842,7.1762171052631585,660.588,13.800184210526316,8.937760869565217,12.879304347826087,5.331326086956522,156.676,17.065391304347827
Kastamonu,2010,11.560559210526316,15.394717105263156,8.327519736842104,716.202,13.572427631578947,10.279739130434782,14.414978260869564,6.564282608695652,151.274,18.044347826086955
Kastamonu,2011,10.52704605263158,14.267401315789474,7.449388157894737,647.368,12.91803947368421,8.49345652173913,12.184739130434783,5.283173913043479,194.078,14.69304347826087
Kastamonu,2012,9.537567213114754,13.208334426229507,6.3117245901639345,694.412,14.427009836065574,9.95208695652174,13.723195652173914,6.4591956521739124,147.136,17.53095652173913
