province_norm,harvest_year,ndvi_auc,ndvi_max,ndvi_mean,evi_max,evi_mean
KUTAHYA,2018,136.541267820578,0.6528765778217355,0.45063124693260054,0.4652801151186968,0.2743721502423404
KUTAHYA,2019,124.13379178599206,0.6050102303011201,0.4096824811418877,0.4473504966954908,0.2544847436805176
KUTAHYA,2020,122.31518972246448,0.6240678088354896,0.4023525977712642,0.4540156836713832,0.2516028756635086
KUTAHYA,2021,123.15513505997554,0.6486816501063573,0.4064525909570147,0.4696067185196128,0.2529312455077364
KUTAHYA,2022,121.20123189611525,0.5785989464472355,0.4000040656637469,0.4181466205323747,0.2505106385246858
KUTAHYA,2023,124.27485959632726,0.6788872922095234,0.4101480514730276,0.4766491654897059,0.2522424562444587
KUTAHYA,2024,126.759269833483,0.6563166129353201,0.4169712823469834,0.4541539713964233,0.2516645982578126
MALATYA,2005,97.87570256218996,0.5038117121352886,0.3230221206672934,0.3700066542802439,0.2146592138616165
MALATYA,2006,107.28386154508716,0.5552028093587986,0.3540721503138191,0.4165632509657271,0.2423456876753515
MALATYA,2007,98.53815172367744,0.5207238724405255,0.3252084215302886,0.37997496535595,0.2140671743640939
MALATYA,2008,99.73274452412652,0.47329283937182953,0.3280682385662054,0.3523301086276862,0.21849210963997606
MALATYA,2009,103.57299813397736,0.5359133896646937,0.3418250763497608,0.41312276722045826,0.2294665717215443
MALATYA,2010,116.02695509713153,0.5626980778537314,0.3829272445449889,0.4026665029709393,0.2518268597921994
MALATYA,2011,104.54302115461263,0.5876128701628377,0.345026472457467,0.4371700567797313,0.22903380443697718
MALATYA,2012,98.26090070443831,0.486097099978871,0.3232266470540739,0.3526577848726652,0.2145805911661377
MALATYA,2013,116.77247934360416,0.544313966267357,0.3853877206059543,0.4016887186172239,0.2507427530767606
MALATYA,2014,93.42853584101204,0.46294585187417675,0.3083450027756174,0.3385496878367671,0.2031630955089285
MALATYA,2015,127.8213336887266,0.61407800374968,0.4218525864314424,0.45534858498612213,0.278224454105359
MALATYA,2016,106.73441695231092,0.521276999925576,0.3511000557641798,0.3721541947596027,0.2266144831138352
MALATYA,2017,99.79792311619067,0.5287996083254587,0.3293660828917194,0.3973255491344104,0.2230202348674164
MALATYA,2018,105.36421252309903,0.5487727988618215,0.3477366749937265,0.4148159707349007,0.23334830693809738
MALATYA,2019,117.79588243795487,0.6006783155610135,0.3887652885741082,0.44124631262762537,0.2565428157788151
MALATYA,2020,108.76694755929478,0.5460401782186652,0.3577860117082065,0.4072104860446699,0.23908297396128647
MALATYA,2021,109.95744101006694,0.54141871370231,0.362895844917712,0.411977351082228,0.24330632680336936
MALATYA,2022,99.57902174224282,0.4902139926747161,0.3286436361130131,0.3690442260766506,0.2178941649649693
