province,province_norm,harvest_year,yield_kg_dekar
Antalya,ANTALYA,2007,232.0
Ardahan,ARDAHAN,2007,149.0
Artvin,ARTVIN,2007,240.0
Aydın,AYDIN,2007,319.0
Ağrı,AGRI,2007,142.0
Balıkesir,BALIKESIR,2007,256.0
Bartın,BARTIN,2007,198.0
Batman,BATMAN,2007,291.0
Bayburt,BAYBURT,2007,153.0
Bilecik,BILECIK,2007,200.0
Bingöl,BINGOL,2007,219.0
Bitlis,BITLIS,2007,140.0
Bolu,BOLU,2007,215.0
Burdur,BURDUR,2007,195.0
Bursa,BURSA,2007,293.0
Denizli,DENIZLI,2007,247.0
Diyarbakır,DIYARBAKIR,2007,294.0
Düzce,DUZCE,2007,269.0
Edirne,EDIRNE,2007,420.0
Elazığ,ELAZIG,2007,256.0
Erzincan,ERZINCAN,2007,226.0
Erzurum,ERZURUM,2007,136.0
Eskişehir,ESKISEHIR,2007,186.0
Gaziantep,GAZIANTEP,2007,365.0
Giresun,GIRESUN,2007,143.0
Gümüşhane,GUMUSHANE,2007,161.0
Hakkari,HAKKARI,2007,140.0
Hatay,HATAY,2007,413.0
Isparta,ISPARTA,2007,161.0
Iğdır,IGDIR,2007,225.0
Kahramanmaraş,KAHRAMANMARAS,2007,197.0
Karabük,KARABUK,2007,182.0
Karaman,KARAMAN,2007,215.0
Kars,KARS,2007,117.0
Kastamonu,KASTAMONU,2007,138.0
Kayseri,KAYSERI,2007,163.0
Kilis,KILIS,2007,234.0
Kocaeli,KOCAELI,2007,270.0
Konya,KONYA,2007,159.0
Kütahya,KUTAHYA,2007,194.0
Kırklareli,KIRKLARELI,2007,383.0
Kırıkkale,KIRIKKALE,2007,111.0
Kırşehir,KIRSEHIR,2007,149.0
Malatya,MALATYA,2007,135.0
Manisa,MANISA,2007,145.0
Mardin,MARDIN,2007,234.0
Mersin,MERSIN,2007,223.0
Muğla,MUGLA,2007,254.0
Muş,MUS,2007,127.0
Nevşehir,NEVSEHIR,2007,145.0
Niğde,NIGDE,2007,143.0
Ordu,ORDU,2007,127.0
Osmaniye,OSMANIYE,2007,397.0
Sakarya,SAKARYA,2007,307.0
Samsun,SAMSUN,2007,301.0
Siirt,SIIRT,2007,255.0
Sinop,SINOP,2007,148.0
Sivas,SIVAS,2007,128.0
Tekirdağ,TEKIRDAG,2007,436.0
Tokat,TOKAT,2007,183.0
Tunceli,TUNCELI,2007,149.0
Uşak,USAK,2007,228.0
Van,VAN,2007,161.0
Yalova,YALOVA,2007,286.0
Yozgat,YOZGAT,2007,176.0
Zonguldak,ZONGULDAK,2007,196.0
Çanakkale,CANAKKALE,2007,341.0
Çankırı,CANKIRI,2007,127.0
Çorum,CORUM,2007,157.0
İstanbul,ISTANBUL,2007,394.0
İzmir,IZMIR,2007,239.0
Şanlıurfa,SANLIURFA,2007,324.0
Şırnak,SIRNAK,2007,282.0
Adana,ADANA,2008,406.0
Adıyaman,ADIYAMAN,2008,170.0
Afyonkarahisar,AFYONKARAHISAR,2008,199.0
Aksaray,AKSARAY,2008,221.0
Amasya,AMASYA,2008,316.0
Ankara,ANKARA,2008,162.0
Antalya,ANTALYA,2008,276.0
Ardahan,ARDAHAN,2008,183.0
Artvin,ARTVIN,2008,236.0
Aydın,AYDIN,2008,445.0
Ağrı,AGRI,2008,125.0
Balıkesir,BALIKESIR,2008,311.0
Bartın,BARTIN,2008,205.0
Batman,BATMAN,2008,82.0
Bilecik,BILECIK,2008,248.0
Bingöl,BINGOL,2008,225.0
Bitlis,BITLIS,2008,109.0
Bolu,BOLU,2008,243.0
Burdur,BURDUR,2008,250.0
Bursa,BURSA,2008,308.0
Denizli,DENIZLI,2008,299.0
Diyarbakır,DIYARBAKIR,2008,173.0
Düzce,DUZCE,2008,271.0
Edirne,EDIRNE,2008,422.0
Elazığ,ELAZIG,2008,214.0
Erzincan,ERZINCAN,2008,219.0
Erzurum,ERZURUM,2008,133.0
Eskişehir,ESKISEHIR,2008,189.0
Gaziantep,GAZIANTEP,2008,238.0
Giresun,GIRESUN,2008,141.0
Gümüşhane,GUMUSHANE,2008,158.0
Hakkari,HAKKARI,2008,142.0
Hatay,HATAY,2008,465.0
Isparta,ISPARTA,2008,207.0
Iğdır,IGDIR,2008,237.0
Kahramanmaraş,KAHRAMANMARAS,2008,186.0
Karabük,KARABUK,2008,200.0
Karaman,KARAMAN,2008,195.0
Kars,KARS,2008,115.0
Kastamonu,KASTAMONU,2008,185.0
Kayseri,KAYSERI,2008,183.0
Kilis,KILIS,2008,57.0
Kocaeli,KOCAELI,2008,270.0
Konya,KONYA,2008,160.0
Kütahya,KUTAHYA,2008,220.0
Kırklareli,KIRKLARELI,2008,390.0
Kırıkkale,KIRIKKALE,2008,117.0
Kırşehir,KIRSEHIR,2008,150.0
Malatya,MALATYA,2008,96.0
Manisa,MANISA,2008,209.0
Mardin,MARDIN,2008,398.0
Mersin,MERSIN,2008,224.0
Muğla,MUGLA,2008,282.0
Muş,MUS,2008,112.0
Nevşehir,NEVSEHIR,2008,146.0
Niğde,NIGDE,2008,153.0
Ordu,ORDU,2008,121.0
Osmaniye,OSMANIYE,2008,409.0
Sakarya,SAKARYA,2008,365.0
Samsun,SAMSUN,2008,328.0
Siirt,SIIRT,2008,43.0
Sinop,SINOP,2008,197.0
Sivas,SIVAS,2008,171.0
Tekirdağ,TEKIRDAG,2008,465.0
Tokat,TOKAT,2008,290.0
Tunceli,TUNCELI,2008,132.0
Uşak,USAK,2008,280.0
Van,VAN,2008,153.0
Yalova,YALOVA,2008,287.0
Yozgat,YOZGAT,2008,177.0
Zonguldak,ZONGULDAK,2008,199.0
Çanakkale,CANAKKALE,2008,350.0
Çankırı,CANKIRI,2008,197.0
Çorum,CORUM,2008,215.0
İstanbul,ISTANBUL,2008,471.0
İzmir,IZMIR,2008,320.0
Şanlıurfa,SANLIURFA,2008,279.0
Şırnak,SIRNAK,2008,272.0
Adana,ADANA,2009,357.0
Adıyaman,ADIYAMAN,2009,255.0
Afyonkarahisar,AFYONKARAHISAR,2009,213.0
Aksaray,AKSARAY,2009,292.0
Amasya,AMASYA,2009,327.0
Ankara,ANKARA,2009,250.0
Antalya,ANTALYA,2009,258.0
Ardahan,ARDAHAN,2009,150.0
Artvin,ARTVIN,2009,179.0
Aydın,AYDIN,2009,351.0
Ağrı,AGRI,2009,183.0
Balıkesir,BALIKESIR,2009,255.0
Bartın,BARTIN,2009,182.0
Batman,BATMAN,2009,254.0
Bayburt,BAYBURT,2009,182.0
Bilecik,BILECIK,2009,229.0
Bingöl,BINGOL,2009,203.0
Bitlis,BITLIS,2009,132.0
Bolu,BOLU,2009,246.0
Burdur,BURDUR,2009,250.0
Bursa,BURSA,2009,294.0
Denizli,DENIZLI,2009,290.0
Diyarbakır,DIYARBAKIR,2009,266.0
Düzce,DUZCE,2009,266.0
Edirne,EDIRNE,2009,343.0
Elazığ,ELAZIG,2009,218.0
Erzincan,ERZINCAN,2009,208.0
Erzurum,ERZURUM,2009,134.0
Eskişehir,ESKISEHIR,2009,243.0
Gaziantep,GAZIANTEP,2009,327.0
Giresun,GIRESUN,2009,126.0
Gümüşhane,GUMUSHANE,2009,139.0
Hakkari,HAKKARI,2009,151.0
Hatay,HATAY,2009,410.0
Isparta,ISPARTA,2009,210.0
Iğdır,IGDIR,2009,239.0
Kahramanmaraş,KAHRAMANMARAS,2009,218.0
Karabük,KARABUK,2009,182.0
Karaman,KARAMAN,2009,212.0
Kars,KARS,2009,105.0
Kastamonu,KASTAMONU,2009,173.0
Kayseri,KAYSERI,2009,173.0
Kilis,KILIS,2009,187.0
Kocaeli,KOCAELI,2009,218.0
Konya,KONYA,2009,260.0
Kütahya,KUTAHYA,2009,209.0
Kırklareli,KIRKLARELI,2009,308.0
Kırıkkale,KIRIKKALE,2009,238.0
Kırşehir,KIRSEHIR,2009,276.0
Malatya,MALATYA,2009,133.0
Manisa,MANISA,2009,207.0
Mardin,MARDIN,2009,181.0
Mersin,MERSIN,2009,221.0
Muğla,MUGLA,2009,245.0
Muş,MUS,2009,120.0
Nevşehir,NEVSEHIR,2009,207.0
Niğde,NIGDE,2009,206.0
Ordu,ORDU,2009,102.0
Osmaniye,OSMANIYE,2009,341.0
Sakarya,SAKARYA,2009,271.0
Samsun,SAMSUN,2009,291.0
Siirt,SIIRT,2009,239.0
Sinop,SINOP,2009,164.0
Sivas,SIVAS,2009,181.0
Tekirdağ,TEKIRDAG,2009,372.0
Tokat,TOKAT,2009,254.0
Tunceli,TUNCELI,2009,135.0
Uşak,USAK,2009,269.0
Van,VAN,2009,144.0
Yalova,YALOVA,2009,230.0
Yozgat,YOZGAT,2009,249.0
Zonguldak,ZONGULDAK,2009,188.0
Çanakkale,CANAKKALE,2009,297.0
Çankırı,CANKIRI,2009,263.0
Çorum,CORUM,2009,255.0
İstanbul,ISTANBUL,2009,390.0
İzmir,IZMIR,2009,317.0
Şanlıurfa,SANLIURFA,2009,312.0
Şırnak,SIRNAK,2009,270.0
Adana,ADANA,2010,328.0
Adıyaman,ADIYAMAN,2010,237.0
Afyonkarahisar,AFYONKARAHISAR,2010,315.0
Aksaray,AKSARAY,2010,271.0
Amasya,AMASYA,2010,259.0
Ankara,ANKARA,2010,231.0
Antalya,ANTALYA,2010,223.0
Ardahan,ARDAHAN,2010,118.0
Artvin,ARTVIN,2010,145.0
Aydın,AYDIN,2010,319.0
Ağrı,AGRI,2010,182.0
Balıkesir,BALIKESIR,2010,253.0
Bartın,BARTIN,2010,175.0
Batman,BATMAN,2010,323.0
Bayburt,BAYBURT,2010,259.0
Bilecik,BILECIK,2010,205.0
Bingöl,BINGOL,2010,203.0
Bitlis,BITLIS,2010,129.0
Bolu,BOLU,2010,202.0
Burdur,BURDUR,2010,233.0
Bursa,BURSA,2010,233.0
Denizli,DENIZLI,2010,277.0
Diyarbakır,DIYARBAKIR,2010,282.0
Düzce,DUZCE,2010,258.0
Edirne,EDIRNE,2010,399.0
Elazığ,ELAZIG,2010,227.0
Erzincan,ERZINCAN,2010,187.0
Erzurum,ERZURUM,2010,143.0
Eskişehir,ESKISEHIR,2010,229.0
Gaziantep,GAZIANTEP,2010,325.0
Giresun,GIRESUN,2010,135.0
Gümüşhane,GUMUSHANE,2010,125.0
Hakkari,HAKKARI,2010,151.0
