province,province_norm,point_id,lat,lon
Bolu,BOLU,3,40.69319769103231,31.317102121549212
Bolu,BOLU,4,40.82716958771449,31.042319450396473
Bolu,BOLU,5,40.837957200951884,31.639868298871548
Burdur,BURDUR,1,37.51559821075703,30.505492121516195
Burdur,BURDUR,2,37.68687110363089,29.858462076854433
Burdur,BURDUR,3,37.262400929894575,29.851461740408123
Burdur,BURDUR,4,37.27403891696694,29.57634967120658
Burdur,BURDUR,5,37.462384188843586,30.748646205870404
Bursa,BURSA,1,40.15916724600733,28.663287963841338
Bursa,BURSA,2,40.191862959579765,28.90498206862473
Bursa,BURSA,3,40.074540621971266,29.32640121565449
Bursa,BURSA,4,39.81817168718229,28.92798520935729
Bursa,BURSA,5,40.12602504632929,28.258107818477313
Canakkale,CANAKKALE,1,39.88660678865265,26.847304841843187
Canakkale,CANAKKALE,2,40.42020344741278,27.192748756368616
Canakkale,CANAKKALE,3,39.74479204875584,26.921530686117485
Canakkale,CANAKKALE,4,40.26450176248188,26.440369430485433
Canakkale,CANAKKALE,5,39.769606992560696,26.58924300693026
Cankiri,CANKIRI,1,40.890362729634305,33.76597030991251
Cankiri,CANKIRI,2,40.95358890367709,32.96532528319208
Cankiri,CANKIRI,3,40.91569709135323,33.296046101332614
Cankiri,CANKIRI,4,41.03572321259773,33.51782677857993
Cankiri,CANKIRI,5,40.763253369933345,33.99009812366955
Corum,CORUM,1,40.628529151143155,35.067015932206985
Corum,CORUM,2,40.68970391174125,35.247971773199914
Corum,CORUM,3,40.279901102163215,34.669319452079165
Corum,CORUM,4,40.817166612456674,34.29953140944837
Corum,CORUM,5,40.65198283113112,35.14268526996654
Denizli,DENIZLI,1,37.30596719978189,29.515461510091846
Denizli,DENIZLI,2,37.37976538384714,28.98588883682378
Denizli,DENIZLI,3,37.08312158456138,29.386293387197
Denizli,DENIZLI,4,37.99197889727617,28.925547641287842
Denizli,DENIZLI,5,37.744406431480584,29.18857570065212
Diyarbakir,DIYARBAKIR,1,37.75470287110121,40.04767588639338
Diyarbakir,DIYARBAKIR,2,38.3473014131967,40.43347417344808
Diyarbakir,DIYARBAKIR,3,38.43227233764122,41.05846333278757
Diyarbakir,DIYARBAKIR,4,37.51103901669474,39.966545656641316
Diyarbakir,DIYARBAKIR,5,38.4175759255033,39.900936233006334
Edirne,EDIRNE,1,41.93834408907717,26.853477135956524
Edirne,EDIRNE,2,40.638428768783555,26.4545901729225
Edirne,EDIRNE,3,40.829702363504325,26.424484138189555
Edirne,EDIRNE,4,40.777086012055264,26.484729510587506
Edirne,EDIRNE,5,41.13074751710326,26.765393802620455
Elazig,ELAZIG,1,38.47642795857243,40.2444467296573
Elazig,ELAZIG,2,38.887688607772326,38.60705300128116
Elazig,ELAZIG,3,38.49270335710978,39.47755927909915
Elazig,ELAZIG,4,38.83326363328286,38.689715403965764
Elazig,ELAZIG,5,38.40221720129609,39.843374066898804
Erzincan,ERZINCAN,1,39.73342065224667,39.04372694322488
Erzincan,ERZINCAN,2,39.68033540059123,39.994118057384995
Erzincan,ERZINCAN,3,39.83421302740492,38.51650783090117
Erzincan,ERZINCAN,4,39.651908659917304,40.39489571605265
Erzincan,ERZINCAN,5,39.88702826137154,40.3930945824567
Erzurum,ERZURUM,1,40.64394376712666,41.740378571087746
Erzurum,ERZURUM,2,39.93479175326351,41.90809861201239
Erzurum,ERZURUM,3,40.89059485658332,41.970035653868685
Erzurum,ERZURUM,4,40.60695849490828,40.885678266576434
Erzurum,ERZURUM,5,40.021375925763245,41.512587546578416
Eskisehir,ESKISEHIR,1,39.865491435145685,30.89146071439467
Eskisehir,ESKISEHIR,2,39.99447326281125,30.550600003119072
Eskisehir,ESKISEHIR,3,39.176840664189015,31.69714426777888
Eskisehir,ESKISEHIR,4,39.34484568731437,31.80092447437775
Eskisehir,ESKISEHIR,5,39.736501523216965,30.95086189300622
Gaziantep,GAZIANTEP,1,36.84856665884783,37.80214722207473
Gaziantep,GAZIANTEP,2,36.92748222674966,37.56684540590301
Gaziantep,GAZIANTEP,3,37.23639145506711,37.55023197683612
Gaziantep,GAZIANTEP,4,36.95250142904867,37.552082440211095
Gaziantep,GAZIANTEP,5,37.09211147214719,37.37889791122803
Giresun,GIRESUN,1,40.47573179050651,38.60517800445841
Giresun,GIRESUN,2,40.37661030843207,38.869427577059774
Giresun,GIRESUN,3,40.313948200438396,38.81648205516629
Giresun,GIRESUN,4,40.828090662939445,38.611251717975705
Giresun,GIRESUN,5,40.7887355207335,38.547755454966875
Gumushane,GUMUSHANE,1,40.03712739683382,39.04762846145129
Gumushane,GUMUSHANE,2,40.08542299466595,39.51104355625225
Gumushane,GUMUSHANE,3,39.9327523492928,39.73358351885589
Gumushane,GUMUSHANE,4,40.25678727307519,39.422810943786416
Gumushane,GUMUSHANE,5,40.11587236674088,39.55016537137628
Hakkari,HAKKARI,1,37.476590205828494,44.47526247182691
Hakkari,HAKKARI,2,37.15283086085625,44.51542224646153
Hakkari,HAKKARI,3,37.344066050040375,44.105891851042195
Hakkari,HAKKARI,4,37.692510862796354,43.983947423772534
Hakkari,HAKKARI,5,37.47940842237138,44.25624604358701
Hatay,HATAY,1,36.068504663542434,35.97942558092413
Hatay,HATAY,2,36.16472706839249,36.333484977688364
Hatay,HATAY,3,36.35993481800851,36.43362120855163
Hatay,HATAY,4,36.923447838023385,36.41931051601222
Hatay,HATAY,5,36.56504212030138,36.511436630444585
Icel,MERSIN,1,36.79055752074031,33.66912879756069
Icel,MERSIN,2,36.45486942880174,32.99161031497269
Icel,MERSIN,3,36.8254716489879,34.51550032735079
Icel,MERSIN,4,36.19524742743048,33.31228185819035
Icel,MERSIN,5,37.01038885763857,34.35794599462192
Igdir,IGDIR,1,39.777441847867124,44.316577279402885
Igdir,IGDIR,2,40.04767588038916,43.34240053128337
Igdir,IGDIR,3,39.98951648592537,44.00557316063954
Igdir,IGDIR,4,39.72857461445885,44.692331974994495
Igdir,IGDIR,5,39.98023137124757,44.18255846982708
Isparta,ISPARTA,1,37.70835933812078,30.577586331625493
Isparta,ISPARTA,2,38.343443703167914,31.07307955100213
Isparta,ISPARTA,3,38.144765851610956,30.549660713273962
Isparta,ISPARTA,4,37.970892368839436,31.293675207059085
Isparta,ISPARTA,5,37.68560293385321,30.741941816328
Istanbul,ISTANBUL,1,41.180264602633684,28.7873874621732
Istanbul,ISTANBUL,2,41.10767204911937,29.05358122247526
Istanbul,ISTANBUL,3,41.070807150119975,28.370856719372256
Istanbul,ISTANBUL,4,41.5087085035992,28.243630722998454
Istanbul,ISTANBUL,5,40.98307760578328,29.181041097005984
Izmir,IZMIR,1,38.00396312324092,27.47168254156775
Izmir,IZMIR,2,38.04145456001008,27.267994540971014
