province_norm,harvest_year,tmean,tmax_mean,tmin_mean,rain_sum,rad_mean,tmean_std,tmax_p95,tmin_p05,hot_days_30,frost_days_0,dry_days_lt1mm,index,mam_tmean,mam_tmax_mean,mam_tmin_mean,mam_rain_sum,mam_rad_mean,mam_tmean_std,mam_tmax_p95,mam_tmin_p05,mam_hot_days_30,mam_frost_days_0,mam_dry_days_lt1mm
ISPARTA,2022,9.216986842105262,15.151453947368418,3.937348684210525,516.9680000000001,16.361986842105264,8.61666251653845,29.6821,-9.1139,11.0,89.0,214.0,757,8.753521739130434,14.744521739130434,3.2006739130434783,98.25800000000001,19.77221739130435,7.53324841491643,25.942700000000006,-8.4728,0.0,26.0,69.0
ISPARTA,2023,10.337967105263159,16.377723684210526,5.245638157894737,520.508,15.606664473684209,7.184357814964105,31.148,-5.106800000000001,23.0,64.0,212.0,758,9.881217391304348,15.455760869565218,4.882695652173914,270.97600000000006,16.65363043478261,3.945452677620474,22.0542,-0.9259000000000001,0.0,8.0,46.0
ISPARTA,2024,12.602,18.74578360655738,7.241540983606558,410.578,16.655022950819674,8.02622814343863,33.5092,-3.5084,48.0,49.0,225.0,759,12.268086956521742,18.69758695652174,6.361913043478261,114.49,20.09115217391304,4.955998872832832,25.520599999999998,-1.5418000000000003,0.0,9.0,68.0
ISTANBUL,2005,12.967473684210526,16.305868421052633,9.993493421052632,533.146,13.478743421052632,6.762485780147558,28.435299999999994,0.29040000000000016,3.0,14.0,223.0,760,11.766608695652174,15.45021739130435,8.334652173913044,100.39199999999998,16.58636956521739,4.966619455145647,22.4953,0.3993999999999999,0.0,4.0,73.0
ISTANBUL,2006,12.25391447368421,15.442855263157897,9.404625,537.702,13.581309210526316,6.98330193817064,28.1936,-0.6287999999999999,2.0,20.0,209.0,761,11.985586956521736,15.703869565217392,8.616760869565217,101.526,17.376021739130437,4.608633918717246,25.043100000000003,2.3585,0.0,0.0,76.0
ISTANBUL,2007,13.614855263157896,17.185881578947367,10.554934210526316,309.096,14.285447368421051,7.227202386955717,30.4656,2.0986,20.0,4.0,247.0,762,12.681565217391306,16.799413043478264,9.133021739130434,94.18199999999997,17.834,4.81929998862027,25.782700000000002,3.5449,0.0,0.0,74.0
ISTANBUL,2008,13.127980327868855,16.511422950819675,10.186865573770492,493.91599999999994,14.085481967213115,7.191535976200088,29.110799999999998,1.0176,10.0,7.0,219.0,763,13.645239130434787,17.29813043478261,10.302021739130437,107.68999999999998,17.134478260869567,3.8770092681428006,25.1448,5.4882,0.0,0.0,72.0
ISTANBUL,2009,13.318111842105264,16.56257894736842,10.455572368421054,522.176,13.94825,6.958631482286006,29.069399999999998,1.6099,12.0,2.0,209.0,764,11.796434782608696,15.447543478260869,8.595804347826089,125.434,17.707347826086956,4.589211034456454,23.500400000000003,2.8492,0.0,0.0,68.0
ISTANBUL,2010,13.595861842105263,16.78471710526316,10.673697368421053,814.61,13.34753289473684,6.836431512304761,28.730699999999995,-0.17639999999999997,5.0,18.0,190.0,765,12.477086956521742,16.094282608695654,9.242565217391304,137.48200000000003,17.91658695652174,4.864834066836193,25.600400000000004,2.3122,0.0,1.0,71.0
ISTANBUL,2011,12.887421052631579,16.10608552631579,10.15429605263158,608.0160000000001,13.084453947368422,6.859108031693801,29.650599999999997,1.1601000000000001,14.0,3.0,208.0,766,10.736739130434783,14.043217391304347,7.785,129.60800000000003,15.200173913043477,4.523370859348063,22.364800000000002,0.9465,0.0,2.0,63.0
