province_norm,province,soil_clay,soil_sand,soil_silt,soil_soc,soil_phh2o,soil_bdod,soil_cec
KAYSERI,Kayseri,32.0376,30.074399999999997,37.925599999999996,39.583999999999996,7.568799999999999,1.24752,25.371199999999998
KILIS,Kilis,44.2984,18.912,36.8224,28.275199999999995,7.175199999999999,1.3512,23.951199999999996
KIRIKKALE,Kirikkale,32.5776,30.4024,37.0664,31.6544,7.472800000000001,1.30888,24.7344
KIRKLARELI,Kirklareli,28.436799999999998,33.69840000000001,37.91360000000001,54.70239999999999,6.456800000000001,1.2311999999999999,27.1624
KIRSEHIR,Kirsehir,32.1344,28.844,39.068799999999996,27.171999999999997,7.5792,1.3336000000000001,24.6504
KOCAELI,Kocaeli,30.051466666666663,30.128533333333337,39.86266666666667,67.12693333333333,6.744800000000001,1.20832,27.088533333333327
KONYA,Konya,27.8608,34.5456,37.6256,35.6072,7.227200000000001,1.2696,23.9456
KUTAHYA,Kutahya,23.9184,39.977599999999995,36.1512,48.1976,6.5632,1.20688,24.300800000000002
MALATYA,Malatya,33.516000000000005,27.2408,39.2752,38.1704,7.393599999999999,1.23048,30.230399999999996
MANISA,Manisa,28.601599999999998,30.8176,40.6176,35.186400000000006,6.708800000000001,1.30768,26.4272
MARDIN,Mardin,37.959999999999994,20.003999999999998,42.0736,26.347199999999997,7.316800000000001,1.36368,31.2144
MUGLA,Mugla,23.478199999999998,39.87579999999999,36.6856,59.11279999999999,6.5378,1.2688000000000001,25.7442
MUS,Mus,28.977599999999995,32.0184,39.0456,53.24799999999999,7.055200000000001,1.2476800000000001,28.469600000000003
NEVSEHIR,Nevsehir,31.1264,30.3,38.606399999999994,26.098399999999998,7.693599999999999,1.34072,24.6672
NIGDE,Nigde,28.7848,34.356,36.8984,34.279999999999994,7.441600000000001,1.2776,24.8176
ORDU,Ordu,29.2856,32.293600000000005,38.468,70.7784,6.535200000000001,1.1613600000000002,25.8376
OSMANIYE,Osmaniye,29.4072,32.511199999999995,38.126400000000004,46.8472,6.655199999999999,1.29416,24.305600000000002
RIZE,Rize,29.567104347826085,31.228956521739132,39.24029565217391,105.3529,5.715408695652174,1.0054666666666665,30.289278260869565
SAKARYA,Sakarya,29.375999999999998,28.490400000000005,42.1768,67.9712,6.747200000000001,1.22592,26.9312
SAMSUN,Samsun,31.610400000000006,28.452000000000005,39.971199999999996,58.641600000000004,6.7976,1.2191199999999998,26.8008
SANLIURFA,Sanliurfa,44.4288,16.692,38.9184,25.5152,7.2896,1.362,33.7624
SIIRT,Siirt,36.5304,22.1768,41.332,36.2208,7.1848,1.2955999999999999,29.875999999999998
SINOP,Sinop,28.595799999999997,32.4538,38.989,72.026,6.5120000000000005,1.14194,30.1188
SIRNAK,Sirnak,32.2688,24.970399999999998,42.7928,55.764799999999994,7.095999999999999,1.23008,30.829600000000006
SIVAS,Sivas,34.8864,29.1928,35.96,39.1624,7.4488,1.2731999999999999,30.6496
TEKIRDAG,Tekirdag,30.7144347826087,30.219304347826085,39.1079652173913,48.419443478260874,6.758365217391304,1.2705426086956524,26.458330434782614
TOKAT,Tokat,30.888800000000003,30.4664,38.687200000000004,54.075199999999995,6.9464,1.238,23.5
TRABZON,Trabzon,27.09857777777778,32.8112,40.12426666666668,91.22097777777776,5.722755555555556,1.0704355555555556,27.96053333333333
TUNCELI,Tunceli,30.00370909090909,30.880981818181823,39.148981818181824,53.26767272727274,7.1120363636363635,1.22012,28.06076363636364
USAK,Usak,26.7072,38.11919999999999,35.2104,34.2112,6.904000000000001,1.2992800000000002,26.391200000000005
VAN,Van,24.092,38.1416,37.803999999999995,58.92560000000001,6.9368,1.2080000000000002,24.9024
YALOVA,Yalova,26.908947368421053,33.36652631578947,39.76014736842105,69.48667368421052,6.514757894736841,1.1880421052631578,24.460905263157894
YOZGAT,Yozgat,32.950399999999995,31.9424,35.138400000000004,40.7864,7.313600000000001,1.2794400000000004,24.069599999999998
ZONGULDAK,Zonguldak,33.823615584415585,27.506124675324674,38.69989090909091,79.22559480519482,6.5358857142857145,1.1733135064935065,28.007961038961042
