province_norm,harvest_year,yield_kg_dekar,tmean,tmax_mean,tmin_mean,rain_sum,rad_mean,tmean_std,tmax_p95,tmin_p05,hot_days_30,frost_days_0,dry_days_lt1mm,index,mam_tmean,mam_tmax_mean,mam_tmin_mean,mam_rain_sum,mam_rad_mean,mam_tmean_std,mam_tmax_p95,mam_tmin_p05,mam_hot_days_30,mam_frost_days_0,mam_dry_days_lt1mm,ndvi_auc,ndvi_max,ndvi_mean,evi_max,evi_mean
NEVSEHIR,2018,206.0,10.368815789473684,17.0581052631579,4.695736842105265,355.334,16.464802631578944,7.873230701695849,31.6282,-4.8702000000000005,26.0,85.0,220.0,1193,11.964913043478262,18.655804347826088,5.831891304347826,138.81,19.622065217391302,4.465427726832477,26.2223,-1.1333,0.0,6.0,57.0,83.5966871536524,0.5021945301735935,0.2758966572727804,0.3959179148135444,0.1892247354373139
NEVSEHIR,2019,227.0,8.915736842105263,15.195348684210527,3.561434210526316,429.11,16.185592105263158,8.25315690193826,29.7362,-6.847099999999999,11.0,122.0,209.0,1194,9.165543478260869,15.568978260869562,3.3108913043478263,97.732,19.56695652173913,6.161698203931334,27.9764,-3.4358,2.0,33.0,64.0,86.42447439635518,0.4584820306436695,0.2852292884368155,0.3441738762096802,0.1934111825281673
NEVSEHIR,2020,238.0,9.483350819672133,15.99752786885246,3.795481967213115,369.8200000000001,16.491868852459017,8.57214034476434,32.0968,-7.1824,29.0,100.0,227.0,1195,9.45536956521739,15.924499999999998,3.218260869565217,138.35199999999998,19.792065217391308,5.54449596539418,27.4948,-4.7559000000000005,2.0,22.0,63.0,78.49359910364453,0.4547294953963402,0.258202628630409,0.3616892488194302,0.181951021296428
NEVSEHIR,2021,165.0,9.669651315789476,16.60559210526316,3.883730263157894,301.83400000000006,16.95171052631579,8.550555528058636,30.5471,-6.3954,19.0,123.0,250.0,1196,9.571891304347826,16.424326086956523,3.233804347826088,119.35399999999998,19.55717391304348,6.91522386383525,27.9288,-5.3664,2.0,36.0,70.0,74.22890303279983,0.4634325507969296,0.2449798779960389,0.362503419431546,0.1725252710456642
NEVSEHIR,2022,250.0,8.031184210526314,14.67425657894737,2.309993421052632,370.798,16.37983552631579,8.92547101782572,29.709299999999995,-10.7538,14.0,118.0,224.0,1197,7.70921739130435,14.038826086956522,1.6155652173913049,134.56599999999997,18.804239130434784,7.903790015654664,25.6978,-10.95,1.0,31.0,62.0,80.21458419274302,0.437300190116626,0.2647346012961818,0.3208431479194658,0.1778229331245924
NEVSEHIR,2023,260.0,9.323585526315789,16.03470394736842,3.763269736842105,357.54200000000003,15.850592105263155,7.548080422986299,30.851199999999984,-5.478300000000001,17.0,94.0,225.0,1198,9.826326086956522,16.260760869565214,3.875586956521739,178.412,17.963260869565218,4.331046055683875,23.4445,-2.0102,0.0,13.0,52.0,86.78141032425576,0.5208640975032004,0.2864072947995237,0.4077847381667295,0.1936837688862364
NEVSEHIR,2024,240.0,11.225803278688524,17.956977049180328,5.4712,360.29,16.613737704918034,7.993774473275717,32.9404,-4.9104,40.0,83.0,229.0,1199,11.021326086956522,17.599847826086954,4.884586956521739,168.936,19.142282608695652,5.308414421719406,26.1243,-3.4827000000000004,0.0,23.0,57.0,89.21057654869757,0.5099763635963307,0.2934558439101896,0.3910904127067043,0.1958408594338867
NIGDE,2005,173.0,7.356467105263158,13.498861842105264,2.1624671052631577,295.416,16.251875000000002,8.766033785900442,30.4176,-9.3427,19.0,126.0,241.0,1200,7.519217391304346,13.740521739130434,2.0355434782608697,107.396,18.792,5.476332870677553,23.2178,-6.5197,0.0,33.0,65.0,80.59069239727874,0.4655543274634315,0.2659758824992695,0.3752828233047455,0.1883214624491271
NIGDE,2006,183.0,7.410875,13.951381578947366,1.95025,279.302,16.254736842105263,8.270716928161402,29.5842,-8.8155,9.0,132.0,241.0,1201,8.494804347826085,14.973782608695652,2.717934782608696,97.482,19.22145652173913,5.067297218849188,26.5302,-4.1169,0.0,26.0,70.0,89.51211171559505,0.4996084659502121,0.2954195106125248,0.4050076515140208,0.211889484323603
NIGDE,2007,143.0,7.500355263157895,14.079769736842104,2.059203947368421,269.746,16.75759210526316,8.793333234054122,31.6956,-8.816500000000001,23.0,154.0,252.0,1202,7.728021739130434,14.477000000000002,1.814217391304348,109.086,19.25132608695652,5.972518091322166,25.3108,-5.5918,0.0,45.0,69.0,80.83508594615536,0.4855921654722286,0.2667824618684996,0.3981129034871524,0.186827040009141
NIGDE,2008,153.0,7.288281967213114,13.77105573770492,1.7652,309.612,16.855245901639343,8.851055535431104,29.868800000000004,-10.4536,13.0,129.0,250.0,1203,9.10904347826087,15.79982608695652,3.1111304347826088,79.366,19.27247826086957,4.734838061709855,25.466,-2.6185,0.0,23.0,73.0,84.43196264256177,0.4652776156172023,0.2777367192189531,0.3722842020625702,0.194951410098434
NIGDE,2009,206.0,7.099184210526316,13.132493421052631,2.0633947368421053,412.828,15.818921052631577,7.756693158687773,27.7758,-7.778799999999999,2.0,120.0,216.0,1204,6.444717391304348,12.414826086956522,1.1450652173913043,138.38,18.76591304347826,5.227739162814026,22.986,-6.7589,0.0,33.0,60.0,92.73204972050918,0.5201034037024039,0.3060463687145516,0.4065906106166151,0.2096117163430385
NIGDE,2010,205.0,8.760552631578948,14.785657894736843,3.641986842105263,423.632,15.725118421052631,7.836934627369072,29.56119999999999,-6.1906,12.0,107.0,211.0,1205,8.735978260869564,14.967326086956518,3.07986956521739,121.952,19.56978260869565,4.813508642359715,23.4763,-5.7321,0.0,21.0,66.0,97.37900412567674,0.5186414512793939,0.3213828518999232,0.4019067621667037,0.2183291640421046
NIGDE,2011,241.0,7.619118421052631,13.717368421052631,2.646618421052632,492.002,15.58478947368421,7.336666397902728,28.1476,-6.8633,7.0,109.0,217.0,1206,6.448673913043479,12.257565217391306,1.371173913043478,156.858,17.19839130434783,4.58409430005966,19.9569,-5.8967,0.0,28.0,53.0,98.78861876082244,0.5400397071138446,0.3260350454152552,0.4286203157690575,0.2225798736917437
NIGDE,2012,239.0,6.122150819672131,12.382537704918033,0.8757311475409831,389.616,16.265350819672133,9.427541863900666,31.378000000000004,-12.5088,21.0,164.0,233.0,1207,6.815913043478262,12.67891304347826,1.5870434782608698,119.482,18.90315217391304,6.344149991388491,20.3345,-10.779,0.0,34.0,67.0,83.74814725549508,0.4745086149086175,0.2754873264983392,0.3846221983192138,0.1958449749846439
NIGDE,2013,305.0,8.193138157894737,14.13236842105263,3.216243421052632,402.222,16.037348684210528,7.632425056617052,29.121,-6.394799999999999,8.0,110.0,235.0,1208,8.725043478260869,14.641195652173913,3.405130434782609,131.662,19.00519565217392,5.602556484581306,23.4313,-5.4749,0.0,18.0,70.0,96.8936073497945,0.5228182910859452,0.3197808823425561,0.4122374204568663,0.2186483629347289
NIGDE,2014,187.0,8.179421052631579,14.844868421052633,2.737802631578948,244.194,16.763684210526314,7.754021873509828,30.81899999999999,-7.7218,19.0,107.0,256.0,1209,8.971021739130434,15.670478260869563,2.951717391304348,104.598,19.619565217391305,4.67604708137274,24.6853,-4.5739,0.0,18.0,74.0,81.59290485454805,0.4626702849518802,0.2692835143714456,0.3741599547321965,0.1894543968099454
NIGDE,2015,315.0,6.9813289473684215,12.876809210526314,2.040921052631579,466.892,15.543710526315792,7.539884042648469,27.441099999999995,-6.4350000000000005,5.0,124.0,204.0,1210,6.991913043478262,12.847586956521738,1.590630434782609,166.83800000000002,18.497804347826083,5.358963988059866,23.716700000000003,-5.6298,0.0,35.0,55.0,110.90091274965587,0.568977733969243,0.3660096130351676,0.4464318185408411,0.2465725976767603
NIGDE,2016,256.0,8.19649180327869,14.68758032786885,2.8126950819672136,306.414,16.614275409836065,8.337106284049906,29.492,-8.981599999999998,11.0,116.0,237.0,1211,8.963739130434782,15.656956521739133,3.058804347826088,115.862,19.62482608695652,4.579369323796313,22.3015,-4.0491,0.0,22.0,64.0,94.27390667774586,0.5142008796865366,0.3101115351241641,0.4123150233070701,0.2157572454808097
NIGDE,2017,272.0,6.819342105263158,13.27557894736842,1.2862302631578952,309.314,16.728019736842107,9.366745416512572,30.7516,-12.8857,22.0,140.0,241.0,1212,7.455739130434782,13.820065217391305,1.8064565217391304,148.01799999999997,18.588543478260878,4.723038965968455,21.4249,-4.3758,0.0,36.0,60.0,90.378437331489,0.5272929909649126,0.2982786710610197,0.4251926647342338,0.2151411637598083
NIGDE,2018,329.0,8.911934210526317,15.222072368421053,3.678888157894737,374.556,16.310348684210524,7.638053851336837,29.7537,-5.8705,11.0,99.0,226.0,1213,10.30117391304348,16.550782608695652,4.701217391304348,118.054,19.46563043478261,4.317971350623635,23.5128,-1.5777,0.0,13.0,63.0,95.30941240171376,0.5292774229735691,0.3145525161772735,0.4328597543591846,0.2207782514890316
NIGDE,2019,340.0,7.443243421052631,13.193875,2.5947434210526312,487.542,15.69954605263158,8.170875606578184,27.777599999999996,-7.837099999999999,4.0,131.0,206.0,1214,7.452413043478259,13.248826086956525,2.3281304347826084,98.38,18.66295652173913,5.95617195109718,25.0931,-4.892,0.0,34.0,61.0,106.1274304593986,0.5565751899577971,0.3502555460706227,0.4422692839028093,0.243980090464947
NIGDE,2020,328.0,8.090688524590163,14.281206557377049,2.8221901639344265,389.632,16.1379868852459,8.508413729681173,31.164000000000005,-9.0848,21.0,111.0,223.0,1215,7.890434782608696,13.972304347826084,2.254521739130434,128.02,18.918717391304348,5.4074097215578965,25.9212,-6.346100000000001,0.0,26.0,65.0,96.9855575239855,0.5419650931776591,0.3190314392236361,0.4580541923169158,0.2304399667447772
NIGDE,2021,271.0,8.459217105263157,15.18807236842105,2.968434210526316,267.196,16.931375,8.37628308947077,29.5879,-7.789400000000001,14.0,132.0,255.0,1216,8.337434782608696,15.060934782608694,2.443369565217392,81.104,19.711065217391305,6.816317405588,26.3398,-5.8852,0.0,37.0,73.0,92.23840788149134,0.5509550717610805,0.3044171877276937,0.4611173395577368,0.220377229911618
NIGDE,2022,357.0,6.829532894736841,13.23382894736842,1.4466052631578945,370.448,16.156565789473685,8.91252036924728,28.2783,-12.1451,6.0,125.0,231.0,1217,6.332934782608696,12.475717391304348,0.7853913043478261,115.66,18.75984782608696,7.627583394185893,23.1496,-11.509,0.0,33.0,67.0,95.67110028669808,0.547629916907385,0.3157462055666603,0.4492104767160004,0.2261791140456883
NIGDE,2023,335.0,8.104263157894737,14.615302631578947,2.8396578947368423,315.528,15.793480263157898,7.543630417624798,29.396,-6.749099999999999,13.0,101.0,233.0,1218,8.289391304347827,14.502065217391303,2.827826086956522,156.59,17.34454347826087,4.249954432739616,21.0607,-2.4958,0.0,19.0,58.0,102.4836901006474,0.579978423133551,0.3382300003321696,0.4727086822584245,0.2369472805866442
NIGDE,2024,316.0,10.004996721311477,16.438504918032788,4.6701836065573765,325.778,16.198491803278692,7.96975790942596,31.4228,-5.594799999999999,33.0,94.0,240.0,1219,9.594,15.911260869565217,3.9730652173913055,134.03799999999998,18.294108695652174,5.187281402782035,24.0947,-4.0121,0.0,26.0,64.0,104.890739922308,0.5826812418651974,0.3450353286918032,0.4751801356768819,0.2388807412267988
ORDU,2005,110.0,6.0775328947368426,11.496532894736845,1.4529078947368423,716.0799999999999,13.531315789473686,8.305977228579827,26.135299999999997,-10.0072,1.0,131.0,188.0,1220,6.806086956521739,12.127652173913043,2.0011739130434787,252.444,15.385108695652177,6.144078753451913,21.3606,-7.039499999999999,0.0,29.0,41.0,188.14185616166583,0.7669363882446133,0.6209302183553321,0.5714584149765224,0.3981333919286718
